frame,t_s,tfl_vx,tfl_vy,tfl_vz,tfl_yaw,pt_vx,pt_vy,pt_vz,pt_yaw
0,0.0,0.1591121,-0.078608155,-0.21515411,0.30004883,0.15883517,-0.07836521,-0.21521962,0.3
1,0.0031455283018867928,0.16226113,-0.051530242,-0.22703838,0.30004883,0.1619879,-0.051323116,-0.22710013,0.3
2,0.0062910566037735855,0.17638576,-0.04917115,-0.2215535,0.30004883,0.17609811,-0.048986375,-0.22160554,0.3
3,0.009436584905660378,0.19829297,-0.042589426,-0.20967478,0.30004883,0.19803143,-0.042429626,-0.20973802,0.3
4,0.012582113207547171,0.1461221,-0.05130893,-0.1719594,0.2996506,0.145818,-0.051159084,-0.17198771,0.29944295
5,0.015727641509433964,0.10408664,-0.04425174,-0.16191286,0.2800442,0.10376406,-0.044095397,-0.16193938,0.27984875
6,0.018873169811320756,0.11273718,-0.04560101,-0.16513139,0.27378154,0.11239886,-0.04545766,-0.16516936,0.2735715
7,0.022018698113207547,0.10705209,-0.05056697,-0.16282213,0.27292812,0.10671842,-0.050422966,-0.16286778,0.2727191
8,0.025164226415094342,0.095412016,-0.05140376,-0.15631211,0.2684586,0.09509134,-0.051278412,-0.15634626,0.2682454
9,0.028309754716981134,0.109342575,-0.04934436,-0.15675402,0.26202798,0.10898924,-0.04921311,-0.15676516,0.26184422
10,0.03145528301886793,0.12602198,-0.055825114,-0.15391994,0.25986475,0.12565339,-0.055656135,-0.15393513,0.25972366
11,0.03460081132075472,0.14442706,-0.0625841,-0.15538299,0.26343298,0.14408743,-0.062408984,-0.15539551,0.2632867
12,0.03774633962264151,0.15634298,-0.060700834,-0.14846724,0.2471379,0.15599,-0.06051308,-0.14850968,0.24694723
13,0.040891867924528306,0.1880579,-0.06552696,-0.16154361,0.24516219,0.18771935,-0.0653764,-0.16160303,0.24498773
14,0.044037396226415094,0.16806948,-0.07651013,-0.15152848,0.2297138,0.1677239,-0.07633853,-0.15159881,0.22953933
15,0.04718292452830189,0.16614497,-0.07744068,-0.1457861,0.21618843,0.16586494,-0.07729393,-0.14582402,0.21601659
16,0.050328452830188684,0.17183077,-0.068807125,-0.15110862,0.22948515,0.17156911,-0.06864166,-0.15113848,0.229294
17,0.05347398113207547,0.15816021,-0.05437845,-0.15710557,0.2709878,0.15783012,-0.054203153,-0.1571132,0.2708438
18,0.05661950943396227,0.17643762,-0.04471934,-0.17311066,0.30004883,0.17618275,-0.04455453,-0.17311919,0.3
19,0.05976503773584906,0.19525647,-0.06257784,-0.16483992,0.2987516,0.19502866,-0.062355578,-0.16485459,0.2986061
20,0.06291056603773586,0.23768866,-0.057119668,-0.15798134,0.28233248,0.23749948,-0.056940675,-0.15795863,0.2822079
21,0.06605609433962265,0.25365245,-0.07192993,-0.15004814,0.24011153,0.25336742,-0.07171035,-0.15004128,0.23999345
22,0.06920162264150943,0.22490096,-0.08333063,-0.15736407,0.21863681,0.22461748,-0.08318865,-0.15736508,0.21851742
23,0.07234715094339624,0.19249249,-0.08457774,-0.16493106,0.19726223,0.19221556,-0.084459305,-0.16488993,0.1971325
24,0.07549267924528302,0.17910266,-0.11478019,-0.15459561,0.19459385,0.17878461,-0.11457592,-0.15459442,0.19445142
25,0.07863820754716981,0.18185341,-0.11869097,-0.13955915,0.18700624,0.18152034,-0.118469,-0.13958895,0.18688405
26,0.08178373584905661,0.15581727,-0.110443056,-0.14611161,0.16228503,0.15563655,-0.11026555,-0.1460939,0.16221893
27,0.0849292641509434,0.12673223,-0.105100274,-0.13421673,0.14497754,0.12655771,-0.10488987,-0.13422203,0.14490741
28,0.08807479245283019,0.13008475,-0.09196353,-0.15256846,0.13267076,0.1299361,-0.09178132,-0.15256673,0.13263959
29,0.09122032075471699,0.12470877,-0.10226697,-0.15163755,0.12702703,0.124536395,-0.10211527,-0.15167367,0.12699157
30,0.09436584905660378,0.1314441,-0.122172356,-0.15545833,0.13195601,0.13133454,-0.122075796,-0.15545285,0.13191095
31,0.09751137735849057,0.15094316,-0.14593238,-0.14787,0.13365114,0.15082812,-0.14578491,-0.14789659,0.13358924
32,0.10065690566037737,0.14203012,-0.15773964,-0.15436876,0.13814694,0.1420176,-0.15759563,-0.1544087,0.13801545
33,0.10380243396226416,0.12675047,-0.17695713,-0.14072305,0.12708092,0.12676919,-0.17672008,-0.14075595,0.1270479
34,0.10694796226415094,0.112481356,-0.20754272,-0.113131106,0.10946584,0.11242783,-0.20732856,-0.11312491,0.10944718
35,0.11009349056603775,0.114200234,-0.18680626,-0.14752632,0.094296485,0.114091754,-0.18660021,-0.14753777,0.09430152
36,0.11323901886792453,0.13150394,-0.18963891,-0.1248073,0.09015238,0.13145518,-0.18942708,-0.12486589,0.09020558
37,0.11638454716981132,0.11781633,-0.19625616,-0.13211727,0.09495464,0.11769521,-0.19604152,-0.13214993,0.09497419
38,0.11953007547169812,0.03636682,-0.19130135,-0.13658154,0.11195871,0.036004186,-0.19102895,-0.13660693,0.11201003
39,0.12267560377358491,0.013746023,-0.18151861,-0.11716735,0.12632716,0.013468862,-0.18119794,-0.11724359,0.12648216
40,0.12582113207547171,0.0089643,-0.1710431,-0.13107407,0.113422185,0.008738518,-0.17069721,-0.13117474,0.11357871
41,0.1289666603773585,0.009455919,-0.17066419,-0.124788284,0.0953947,0.009134054,-0.17033851,-0.12485242,0.09549111
42,0.1321121886792453,0.02590251,-0.17825723,-0.11814654,0.096847296,0.025595427,-0.17791176,-0.11823696,0.09697333
43,0.1352577169811321,0.0871619,-0.17019272,-0.1449343,0.08756608,0.0870502,-0.1699155,-0.14502013,0.087637186
