frame,t_s,tfl_c,tfl_roll_sp,tfl_pitch_sp,tfl_yaw_sp,pt_c,pt_roll_sp,pt_pitch_sp,pt_yaw_sp
0,0.0,9.030815,0.09325495,0.008786529,-1.4713235,9.02858,0.09316984,0.008791804,-1.4717811
1,0.0031455283018867928,9.044809,0.090889186,0.0062760115,-1.4703579,9.042852,0.0908038,0.00627926,-1.4708065
2,0.0062910566037735855,8.995208,0.089759886,0.004561305,-1.4673083,8.993378,0.0896841,0.004591942,-1.4677619
3,0.009436584905660378,9.063146,0.08419666,0.012491018,-1.4744711,9.061234,0.08416751,0.012496144,-1.474934
4,0.012582113207547171,8.805004,0.10520774,0.030753165,-1.4760315,8.802596,0.105122656,0.030751139,-1.4765149
5,0.015727641509433964,8.9616785,0.10079804,0.031739473,-1.480751,8.959733,0.10070607,0.03173095,-1.481224
6,0.018873169811320756,9.04604,0.09649661,0.02843818,-1.4826071,9.043963,0.09639123,0.028430074,-1.4830958
7,0.022018698113207547,9.057543,0.095605254,0.029080689,-1.4836743,9.0555,0.095492125,0.029066384,-1.4841493
8,0.025164226415094342,9.0616455,0.096260756,0.027291209,-1.4836414,9.059445,0.09616518,0.027282,-1.4841102
9,0.028309754716981134,9.141719,0.09465653,0.026189595,-1.4859324,9.139809,0.09455973,0.026186407,-1.4864041
10,0.03145528301886793,9.072312,0.09312332,0.03043297,-1.4846632,9.070277,0.093020886,0.03041774,-1.4851345
11,0.03460081132075472,8.910086,0.09842208,0.0317232,-1.4810648,8.907989,0.09833345,0.03172946,-1.4815267
12,0.03774633962264151,8.808599,0.09825274,0.031211376,-1.4798307,8.806608,0.09815696,0.031209916,-1.4802815
13,0.040891867924528306,8.775242,0.097278744,0.032572657,-1.4799714,8.772929,0.09718028,0.032578975,-1.4804214
14,0.044037396226415094,8.687747,0.10040498,0.036800057,-1.4789164,8.685395,0.1003117,0.036801875,-1.4793633
15,0.04718292452830189,8.558615,0.09700614,0.034804553,-1.4767737,8.556344,0.096912414,0.03481236,-1.4772083
16,0.050328452830188684,8.185361,0.111435086,0.032552898,-1.464664,8.181842,0.111387104,0.032564163,-1.4651049
17,0.05347398113207547,7.6298857,0.14193225,0.024557501,-1.4535036,7.626816,0.1418471,0.024539858,-1.4539291
18,0.05661950943396227,7.967748,0.14668125,0.014021397,-1.4435263,7.9640226,0.14665022,0.014009684,-1.4439384
19,0.05976503773584906,8.110576,0.14199671,0.016993403,-1.4420047,8.107661,0.14195171,0.016982913,-1.4424316
